   11400. 0.6992  3.1  6.8 0.40 0.16205 -0.01857  0.00450  2.73156    -171.3931   0.5138E-05  -0.0000E+00   0.6090E-04   0.1574E-03  -0.2887E-04   0.9437E-05   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.2396E-03     0.2427E-02
   12000. 0.6992  3.1  6.8 0.40 0.15675 -0.02069  0.00563  2.73836    -171.4362   0.5412E-05  -0.0000E+00   0.1494E-03   0.3712E-03  -0.3327E-04   0.1217E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.5515E-03     0.2512E-02
   12600. 0.6992  3.1  6.8 0.40 0.15160 -0.02269  0.00684  2.73563    -171.5548   0.5685E-05  -0.0000E+00   0.3253E-03   0.7788E-03  -0.3742E-04   0.1505E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.1133E-02     0.2579E-02
   13200. 0.6992  3.1  6.8 0.40 0.14667 -0.02514  0.00843  2.74792    -171.7046   0.5959E-05  -0.0000E+00   0.5772E-03   0.1334E-02  -0.4295E-04   0.1911E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.1907E-02     0.2666E-02
   13800. 0.6992  3.1  6.8 0.40 0.14119 -0.02733  0.01001  2.73363    -171.8065   0.6232E-05  -0.0000E+00   0.8302E-03   0.1857E-02  -0.4801E-04   0.2326E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.2616E-02     0.2716E-02
   14400. 0.6992  3.1  6.8 0.40 0.13750 -0.02982  0.01191  2.75723    -171.8468   0.6505E-05  -0.0000E+00   0.1041E-02   0.2260E-02  -0.5388E-04   0.2828E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.3145E-02     0.2803E-02
   15000. 0.6992  3.1  6.8 0.40 0.13130 -0.03233  0.01403  2.72794    -171.8528   0.6778E-05  -0.0000E+00   0.1219E-02   0.2579E-02  -0.6032E-04   0.3431E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.3553E-02     0.2838E-02
   15600. 0.6992  3.1  6.8 0.40 0.12886 -0.03488  0.01627  2.76775    -171.8448   0.7050E-05  -0.0000E+00   0.1386E-02   0.2862E-02  -0.6697E-04   0.4078E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.3908E-02     0.2935E-02
   16200. 0.6992  3.1  6.8 0.40 0.12266 -0.03744  0.01880  2.72742    -171.8315   0.7321E-05  -0.0000E+00   0.1547E-02   0.3129E-02  -0.7387E-04   0.4824E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.4236E-02     0.2952E-02
   16800. 0.6992  3.1  6.8 0.40 0.12078 -0.04023  0.02159  2.77897    -171.8159   0.7592E-05  -0.0000E+00   0.1706E-02   0.3386E-02  -0.8232E-04   0.5734E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.4547E-02     0.3062E-02
   17400. 0.6992  3.1  6.8 0.40 0.11512 -0.04266  0.02437  2.73422    -171.7990   0.7860E-05  -0.0000E+00   0.1860E-02   0.3636E-02  -0.8930E-04   0.6608E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.4847E-02     0.3065E-02
   18000. 0.6992  3.1  6.8 0.40 0.11345 -0.04556  0.02769  2.78840    -171.7811   0.8130E-05  -0.0000E+00   0.2012E-02   0.3881E-02  -0.9902E-04   0.7777E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.5139E-02     0.3178E-02
   18600. 0.6992  3.1  6.8 0.40 0.10867 -0.04787  0.03075  2.75086    -171.7625   0.8395E-05  -0.0000E+00   0.2159E-02   0.4122E-02  -0.1061E-03   0.8798E-04   0.0000E+00   0.0000E+00     0.2444E+11     0.4995E+03     0.5424E-02     0.3183E-02
