lons,lats
-139.0,69.6
-138.74116240441907,69.75507038549611
-138.48041196930345,69.91013642418137
-138.21771829538397,70.06519810996838
-137.9530502707405,70.22025543629103
-137.68637604832088,70.37530839608644
-138.15029365776658,70.46434829105269
-138.61625106352253,70.55338437329571
-139.08426734816527,70.64241662049113
-139.55436185670476,70.73144500996743
-140.02655420141713,70.82046951869947
-140.50086426678882,70.9094901233017
-140.9773122145756,70.99850680002129
-141.45591848897922,71.08751952473112
-141.93670382194537,71.17652827292254
-142.41968923858622,71.265533019698
-142.9048960627309,71.35453373976354
-143.39234592260794,71.44353040742101
-143.8820607566631,71.5325229965602
-144.37406281951655,71.62151148065074
-144.8683746880637,71.71049583273377
-145.15144256669436,71.5550589157385
-145.43222911300776,71.39962132335435
-145.71077286388626,71.24418300707407
-145.987111406398,71.0887439192073
-146.26128140880317,70.93330401285698
-146.5333186503056,70.77786324189657
-146.06424927510628,70.68763440170116
-145.59727623880624,70.59740767600343
-145.13237967161695,70.50718303447763
-144.66953997947945,70.41696044718032
-144.2087378389707,70.32673988454334
-143.74995419232712,70.23652131736729
-143.29317024258205,70.14630471681484
-142.8383674488141,70.05609005440438
-142.38552752150323,69.9658773020038
-141.93463241799193,69.87566643182434
-141.4856643380483,69.78545741641464
-141.03860571952848,69.69525022865487
-140.59343923413576,69.60504484175104
-140.15014778327378,69.51484122922943
-139.70871449399138,69.42463936493115
