lons,lats
-139.0,69.6
-138.86738911045623,69.72630072604248
-138.73398243201902,69.85259928357952
-138.59976970273084,69.97889567799015
-138.4647404656796,70.10518991460985
-138.3288840640209,70.23148199872838
-138.19218963584083,70.35777193558751
-138.0546461088524,70.48405973037875
-137.91624219491987,70.61034538824094
-137.77696638440352,70.73662891425778
-137.63680694031822,70.86291031345533
-138.02277870196818,70.90848983729414
-138.40963909819982,70.95406809805198
-138.79739245565935,70.99964509144354
-139.18604313190187,71.04522081314998
-139.57559551568625,71.09079525881866
-139.9660540272734,71.13636842406275
-140.35742311872818,71.18194030446098
-140.74970727422496,71.2275108955572
-141.1429110103567,71.27308019286015
-141.53703887644792,71.318648191843
-141.93209545487144,71.36421488794306
-142.32808536136875,71.40978027656148
-142.7250132453745,71.45534435306274
-143.12288379034482,71.50090711277446
-143.52170171408966,71.5464685509869
-143.92147176910916,71.59202866295269
-144.3221987429342,71.63758744388633
-144.7238874584711,71.68314488896397
-145.1265427743505,71.72870099332286
-145.53016958528065,71.7742557520611
-145.934772822405,71.81980916023713
-146.3403574536642,71.86536121286943
-146.74692848416274,71.91091190493601
-147.1544909565399,71.95646123137412
-147.56304995134556,72.00200918707972
-147.97261058742072,72.04755576690715
-148.38317802228252,72.09310096566865
-148.7947574525144,72.13864477813395
-149.20735411416112,72.18418719902982
-149.6209732831286,72.22972822303966
-150.035620275589,72.27526784480298
-150.45130044839098,72.32080605891507
-150.86801919947496,72.3663428599264
-151.28578196829392,72.41187824234228
-151.70459423623947,72.4574122006223
-151.85597308321599,72.33104107368223
-152.00631199283723,72.20466875606328
-152.15562588033796,72.07829523166038
-152.30392934795952,71.95192048452522
-152.45123669365609,71.82554449886298
-152.59756191950046,71.69916725902915
-152.7429187398017,71.57278874952644
-152.8873205889461,71.44640895500184
-153.03078062897313,71.32002786024383
-153.17331175689674,71.19364545017955
-153.31492661178245,71.06726170987223
-153.4556375815897,70.94087662451858
-153.0,70.1
-145.0,69.8
-139.5,69.3
