lons,lats
-139.0,69.35
-138.86746854184585,69.52312485937703
-138.73385624308375,69.69624578852506
-138.5991440935566,69.86936280406097
-138.46331258960558,70.04247592252506
-138.32634171681096,70.21558516037314
-138.18821093197187,70.3886905339684
-138.0488991442848,70.56179205957285
-137.90838469567757,70.73488975333848
-137.7666453402527,70.90798363129801
-137.6236582227916,71.08107370935534
-137.47939985626752,71.25416000327547
-137.33384609831188,71.42724252867413
-137.87835707090687,71.4728543370588
-138.42416386504775,71.51846385964137
-138.97127295100955,71.56407108716297
-139.5196908463914,71.60967601029384
-140.0694241165775,71.6552786196326
-140.62047937520373,71.70087890570555
-141.17286328463007,71.74647685896596
-141.72658255641855,71.79207246979335
-142.28164395181727,71.83766572849274
-142.83805428225028,71.88325662529391
-143.3958204098134,71.92884515035068
-143.9549492477764,71.97443129374014
-144.51544776109102,72.02001504546183
-144.66424635915243,71.84683024257993
-144.8116872796579,71.6736428870722
-144.9577964005845,71.50045294272536
-145.10259888076334,71.32726037373017
-145.24611918631362,71.15406514467173
-145.38838111587356,70.9808672205202
-145.5294078246931,70.80766656662196
-145.6692218476496,70.63446314869127
-145.80784512124367,70.46125693280219
-145.94529900462905,70.28804788538109
-146.0816042997268,70.11483597319938
-146.2167812704714,69.94162116336662
-145.7134204699306,69.89450715152498
-145.21118678728683,69.84739470130178
-144.71007480540533,69.80028380405987
-144.21007914539393,69.75317445122059
-143.71119446624206,69.70606663426315
-143.2134154644639,69.65896034472419
-142.71673687374584,69.61185557419718
-142.22115346459805,69.56475231433191
-141.7266600440101,69.51765055683398
-141.2332514551106,69.4705502934643
-140.740922576831,69.42345151603853
-140.24966832357293,69.37635421642665
-139.7594836448798,69.32925838655243
-139.27036352511186,69.28216401839293
