time,month,year,pre_2003,2003_2023,compact,open,q1,q2,q3,q4,extent,length_145,length_max,centermass_direction,max_length_direction,width595,width,ai,si,ui,vi,a10,s10,u10,v10,t2m,msl,year_start,year_end,missing_sic,sequence,event_day,day_before_event,day_after_event,overlap_flag,single_day,season_start_flag,season_end_flag,first_day,final_day,peak_day,event_length,after_event_length,before_event_length
1987-12-01,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-136.35116328956568,2.1386734280341697,-1.5475094318389893,-1.4761905670166016,-50.99691481402986,1.0336711451872926,0.6505535840988159,-0.8032783269882202,,99614.6171875,True,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-02,12,1988,True,False,False,False,False,False,False,False,,,,,,,,179.18460459650973,2.206935013160417,-2.206711530685425,0.031406570225954056,-9.743756550788136,2.9870687254287955,2.943978786468506,-0.5055378079414368,,99616.1328125,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-03,12,1988,True,False,False,False,False,False,False,False,,,,,,,,104.87010114451441,1.5582659187699899,-0.39989539980888367,1.5060797929763794,10.519877391441016,2.9125322975374686,2.863577365875244,0.5317603349685669,,99663.109375,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-04,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-12.336540423303537,0.8541572958930822,0.8344343900680542,-0.182493656873703,13.947665170830605,2.0501553099918977,1.9897091388702393,0.4941602349281311,,100089.15625,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-05,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-95.20243859466616,0.8276944458975718,-0.07505116611719131,-0.8242847919464111,-7.314998855968086,2.3984065039166405,2.3788862228393555,-0.305375337600708,,100785.8984375,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-06,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-66.45510225118525,0.6820564917147479,0.2724594473838806,-0.6252734661102295,8.144410136074239,0.9722785178634255,0.9624722599983215,0.1377412974834442,,100817.296875,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-07,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-159.09252794827825,2.5872602288524646,-2.416909694671631,-0.9232892394065857,-156.525187646098,4.986036987387879,-4.573369026184082,-1.986167311668396,,100362.296875,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-08,12,1988,True,False,False,False,False,False,False,False,,,,,,,,167.50395435054932,3.880042447080768,-3.788127899169922,0.8395334482192993,-158.22216669528774,4.192421628909424,-3.8932061195373535,-1.555424451828003,,99984.4375,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-09,12,1988,True,False,False,False,False,False,False,False,,,,,,,,157.9807918772689,10.954473426720934,-10.155434608459473,4.107022762298584,-179.42848349479877,5.877670391319749,-5.877377986907959,-0.05862787738442421,,99235.625,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-10,12,1988,True,False,False,False,False,False,False,False,,,,,,,,171.82526933163896,6.164759808371188,-6.1021199226379395,0.8765819668769836,-165.28855951553606,0.6241287468622866,-0.6036679744720459,-0.15849816799163818,,99341.4453125,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-11,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-32.736556096603614,3.328579506604807,2.7998876571655273,-1.80001962184906,8.75828867160907,6.305371108563401,6.231847286224365,0.9600959420204163,,100931.421875,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-12,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-41.45656966965103,2.8555661242393735,2.1401262283325195,-1.890533685684204,10.194087613540907,6.532375903339712,6.42925500869751,1.1561206579208374,,102544.1875,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-13,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-85.12223039868958,0.7057530437613674,0.06001042202115059,-0.7031970620155334,-7.571998792966896,3.783078108026354,3.7500898838043213,-0.49850359559059143,,103183.578125,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-14,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-130.2834718754977,3.4694974233633373,-2.243272066116333,-2.6467230319976807,-149.37882160491918,2.4612099587185257,-2.1180036067962646,-1.2536407709121704,,102926.265625,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-15,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-167.68289801015052,4.908642660638815,-4.795655250549316,-1.047121524810791,-164.16380078751538,5.496794028042389,-5.288167476654053,-1.5000097751617432,,102862.78125,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
1987-12-16,12,1988,True,False,False,False,False,False,False,False,,,,,,,,-177.66555300085648,10.488191708342463,-10.479487419128418,-0.42721042037010193,-157.30143190337756,6.607643657573215,-6.095866680145264,-2.5497772693634033,,101538.3125,False,False,False,-999,-999,-999,-999,False,False,False,False,False,False,False,-999,-999,-999
